,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
0,47000.0,11900.0,30.0,1.0,0,49.0,2.0,1.0,0.0,141610000.0,900.0,9.38429367909962,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,30000.0,11900.0,12.0,1.0,1,36.0,2.0,0.0,0.0,141610000.0,144.0,9.38429367909962,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2,0.0,11900.0,40.0,0.0,0,78.0,0.0,0.0,0.0,141610000.0,1600.0,9.38429367909962,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0.0,11900.0,46.0,0.0,0,76.0,3.0,0.0,0.0,141610000.0,2116.0,9.38429367909962,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,0.0,11900.0,35.0,0.0,1,54.0,7.0,0.0,0.0,141610000.0,1225.0,9.38429367909962,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6,16000.0,11900.0,9.0,0.0,1,27.0,0.0,0.0,0.0,141610000.0,81.0,9.38429367909962,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
7,16000.0,11900.0,42.0,0.0,0,68.0,2.0,0.0,0.0,141610000.0,1764.0,9.38429367909962,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8,27500.0,11900.0,39.0,0.0,1,65.0,3.0,0.0,0.0,141610000.0,1521.0,9.38429367909962,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10,60000.0,11900.0,14.0,1.0,0,37.0,1.0,0.0,0.0,141610000.0,196.0,9.38429367909962,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11,60000.0,11900.0,12.0,1.0,1,32.0,0.0,0.0,0.0,141610000.0,144.0,9.38429367909962,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
